query_id,reference_id
Q00000,
Q00001,
Q00002,
Q00003,R326040
Q00004,R852827
Q00005,
Q00006,
Q00007,
Q00008,R246671
Q00009,
Q00010,
Q00011,
Q00012,
Q00013,
Q00014,
Q00015,
Q00016,
Q00017,
Q00018,
Q00019,
Q00020,
Q00021,
Q00022,
Q00023,
Q00024,
Q00025,
Q00026,R937849
Q00027,
Q00028,R557200
Q00029,R487691
Q00030,
Q00031,R863161
Q00032,
Q00033,
Q00034,
Q00035,R531761
Q00036,
Q00037,R450692
Q00038,
Q00039,
Q00040,
Q00041,
Q00042,
Q00043,
Q00044,
Q00045,
Q00046,R277154
Q00047,
Q00048,
Q00049,R217235
Q00050,
Q00051,R645759
Q00052,
Q00053,
Q00054,
Q00055,
Q00056,
Q00057,
Q00058,R757586
Q00059,
Q00060,
Q00061,R020965
Q00062,
Q00063,R645082
Q00064,
Q00065,R267733
Q00066,
Q00067,
Q00068,
Q00069,
Q00070,
Q00071,R494641
Q00072,
Q00073,R379825
Q00074,
Q00075,
Q00076,
Q00077,
Q00078,
Q00079,
Q00080,
Q00081,
Q00082,
Q00083,R964915
Q00084,R949656
Q00085,
Q00086,
Q00087,
Q00088,
Q00089,R358261
Q00090,
Q00091,
Q00092,
Q00093,
Q00094,
Q00095,
Q00096,R402336
Q00097,
Q00098,
Q00099,
Q00100,
Q00101,
Q00102,
Q00103,
Q00104,
Q00105,
Q00106,
Q00107,
Q00108,
Q00109,R063541
Q00110,
Q00111,
Q00112,
Q00113,R858201
Q00114,
Q00115,
Q00116,
Q00117,R414344
Q00118,
Q00119,
Q00120,
Q00121,
Q00122,
Q00123,R689939
Q00124,
Q00125,
Q00126,
Q00127,
Q00128,R699182
Q00129,
Q00130,
Q00131,
Q00132,R373732
Q00133,
Q00134,
Q00135,
Q00136,
Q00137,
Q00138,
Q00139,
Q00140,
Q00141,
Q00142,
Q00143,
Q00144,
Q00145,
Q00146,
Q00147,
Q00148,
Q00149,R623659
Q00150,R231163
Q00151,
Q00152,R051767
Q00153,
Q00154,
Q00155,R779963
Q00156,
Q00157,
Q00158,
Q00159,
Q00160,
Q00161,R630056
Q00162,
Q00163,R180219
Q00164,
Q00165,
Q00166,
Q00167,
Q00168,
Q00169,
Q00170,
Q00171,R873872
Q00172,
Q00173,
Q00174,
Q00175,
Q00176,
Q00177,
Q00178,
Q00179,
Q00180,
Q00181,
Q00182,
Q00183,
Q00184,
Q00185,R472314
Q00186,
Q00187,R712300
Q00188,
Q00189,
Q00190,
Q00191,
Q00192,
Q00193,
Q00194,
Q00195,
Q00196,
Q00197,
Q00198,R548358
Q00199,
Q00200,
Q00201,
Q00202,
Q00203,
Q00204,
Q00205,R135564
Q00206,R595071
Q00207,
Q00208,R951638
Q00209,
Q00210,R605071
Q00211,R093166
Q00212,
Q00213,
Q00214,R697938
Q00215,
Q00216,
Q00217,R505137
Q00218,
Q00219,
Q00220,R409236
Q00221,R698063
Q00222,
Q00223,
Q00224,
Q00225,
Q00226,
Q00227,
Q00228,
Q00229,
Q00230,
Q00231,
Q00232,
Q00233,
Q00234,
Q00235,
Q00236,
Q00237,R815689
Q00238,
Q00239,
Q00240,
Q00241,
Q00242,
Q00243,
Q00244,
Q00245,
Q00246,
Q00247,
Q00248,
Q00249,
Q00250,
Q00251,
Q00252,
Q00253,
Q00254,
Q00255,R391242
Q00256,
Q00257,
Q00258,
Q00259,R831896
Q00260,R626755
Q00261,
Q00262,
Q00263,
Q00264,R526733
Q00265,
Q00266,
Q00267,
Q00268,
Q00269,
Q00270,
Q00271,
Q00272,
Q00273,
Q00274,R405525
Q00275,
Q00276,
Q00277,
Q00278,
Q00279,R835598
Q00280,
Q00281,
Q00282,
Q00283,R770363
Q00284,
Q00285,
Q00286,
Q00287,
Q00288,
Q00289,
Q00290,
Q00291,R276389
Q00292,
Q00293,
Q00294,R462833
Q00295,
Q00296,
Q00297,
Q00298,
Q00299,R170923
Q00300,R105129
Q00301,
Q00302,
Q00303,
Q00304,
Q00305,
Q00306,
Q00307,
Q00308,
Q00309,
Q00310,R539117
Q00311,
Q00312,
Q00313,R075108
Q00314,
Q00315,
Q00316,R321619
Q00317,
Q00318,
Q00319,
Q00320,
Q00321,
Q00322,R740364
Q00323,R126016
Q00324,R044970
Q00325,
Q00326,R274876
Q00327,
Q00328,
Q00329,R345684
Q00330,
Q00331,
Q00332,
Q00333,
Q00334,
Q00335,
Q00336,
Q00337,
Q00338,R003142
Q00339,
Q00340,
Q00341,
Q00342,
Q00343,
Q00344,
Q00345,
Q00346,
Q00347,R183647
Q00348,
Q00349,
Q00350,
Q00351,
Q00352,
Q00353,R707829
Q00354,
Q00355,
Q00356,
Q00357,
Q00358,
Q00359,R341020
Q00360,
Q00361,
Q00362,
Q00363,R247147
Q00364,R722330
Q00365,R788058
Q00366,
Q00367,
Q00368,
Q00369,R419725
Q00370,
Q00371,
Q00372,
Q00373,
Q00374,
Q00375,R828267
Q00376,
Q00377,
Q00378,
Q00379,
Q00380,
Q00381,
Q00382,
Q00383,
Q00384,
Q00385,
Q00386,
Q00387,
Q00388,R119752
Q00389,R552823
Q00390,
Q00391,
Q00392,R451016
Q00393,R080786
Q00394,
Q00395,
Q00396,R868533
Q00397,
Q00398,
Q00399,
Q00400,
Q00401,
Q00402,
Q00403,R617127
Q00404,
Q00405,
Q00406,
Q00407,
Q00408,
Q00409,R155605
Q00410,
Q00411,
Q00412,
Q00413,
Q00414,
Q00415,
Q00416,
Q00417,
Q00418,
Q00419,R870815
Q00420,
Q00421,
Q00422,
Q00423,R983617
Q00424,
Q00425,
Q00426,
Q00427,
Q00428,
Q00429,
Q00430,
Q00431,
Q00432,
Q00433,R767496
Q00434,R678038
Q00435,
Q00436,
Q00437,
Q00438,
Q00439,R890569
Q00440,
Q00441,
Q00442,
Q00443,
Q00444,
Q00445,
Q00446,
Q00447,
Q00448,
Q00449,
Q00450,R152537
Q00451,
Q00452,
Q00453,
Q00454,
Q00455,
Q00456,
Q00457,
Q00458,
Q00459,
Q00460,R386493
Q00461,
Q00462,
Q00463,
Q00464,
Q00465,
Q00466,
Q00467,
Q00468,
Q00469,
Q00470,R583310
Q00471,R747517
Q00472,R431059
Q00473,
Q00474,
Q00475,
Q00476,
Q00477,R473872
Q00478,
Q00479,
Q00480,R848625
Q00481,
Q00482,
Q00483,
Q00484,
Q00485,
Q00486,
Q00487,
Q00488,R385189
Q00489,R807545
Q00490,
Q00491,
Q00492,
Q00493,
Q00494,
Q00495,R207475
Q00496,R261103
Q00497,R567348
Q00498,
Q00499,
Q00500,
Q00501,
Q00502,
Q00503,
Q00504,
Q00505,
Q00506,R773175
Q00507,
Q00508,
Q00509,
Q00510,R201784
Q00511,R301469
Q00512,
Q00513,
Q00514,R394110
Q00515,
Q00516,
Q00517,
Q00518,
Q00519,
Q00520,
Q00521,R574471
Q00522,
Q00523,R822056
Q00524,
Q00525,R473755
Q00526,
Q00527,
Q00528,
Q00529,
Q00530,
Q00531,R816253
Q00532,
Q00533,
Q00534,
Q00535,
Q00536,
Q00537,R551533
Q00538,
Q00539,
Q00540,
Q00541,R317754
Q00542,
Q00543,
Q00544,
Q00545,
Q00546,
Q00547,R820316
Q00548,
Q00549,R849056
Q00550,R961078
Q00551,
Q00552,R179424
Q00553,
Q00554,
Q00555,
Q00556,
Q00557,
Q00558,
Q00559,
Q00560,
Q00561,
Q00562,
Q00563,
Q00564,
Q00565,R573129
Q00566,
Q00567,R853022
Q00568,
Q00569,
Q00570,
Q00571,R259667
Q00572,
Q00573,
Q00574,R259180
Q00575,
Q00576,
Q00577,
Q00578,
Q00579,
Q00580,
